id,client_id,text_content,codified_data,query_history,doc_count,last_updated
5fa55915-67fd-515a-85bb-c575cd7972c0,Bank_A,This Agreement will be governed by and construed in accordance with English law.,"{""Governing Law"":{""Jurisdiction"":""English Law"",""Exclusive"":""No""}}","[{""query"":""Please confirm capture approach for Governing Law (BARC-ENG-001)."",""role"":""Analyst"",""date"":""2023-01-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-01-01""}]",1,2023-01-01T00:00:00+00:00
cd5f145b-98bc-5089-94bb-55804dbcb2cf,Bank_A,Governing Law: English Law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (HSBC-ENG-002)."",""role"":""Analyst"",""date"":""2023-01-05""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-01-05""}]",1,2023-01-05T00:00:00+00:00
a52750f7-1282-5040-ab4b-d6697d3b4a94,Bank_B,This Agreement shall be governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (LLOYDS-ENG-003)."",""role"":""Analyst"",""date"":""2023-01-10""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-01-10""}]",1,2023-01-10T00:00:00+00:00
f3f8b13d-f00e-5265-9d5a-3b8d596c62e6,Bank_B,The parties agree that this contract is subject to English Law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (RBS-ENG-004)."",""role"":""Analyst"",""date"":""2023-01-15""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-01-15""}]",1,2023-01-15T00:00:00+00:00
e7f27a92-189b-5615-b172-ffefcf8b2f35,Bank_C,This Agreement is governed by the laws of England.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (STD-ENG-005)."",""role"":""Analyst"",""date"":""2023-01-20""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-01-20""}]",1,2023-01-20T00:00:00+00:00
7c94f665-2446-5895-9388-b7bd7e1205bf,Bank_A,This Agreement and any non-contractual obligations arising out of or in connection with it are governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law"",""Non-Contractual"":""Included""}}","[{""query"":""Please confirm capture approach for Governing Law (JPM-ENG-006)."",""role"":""Analyst"",""date"":""2023-02-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-02-01""}]",1,2023-02-01T00:00:00+00:00
0909f17d-729c-5d22-910d-310716845a60,Bank_B,This Agreement will be governed by and construed in accordance with the laws of England and Wales.,"{""Governing Law"":{""Jurisdiction"":""English Law"",""Exact Wording"":""England and Wales""}}","[{""query"":""Please confirm capture approach for Governing Law (MS-ENG-007)."",""role"":""Analyst"",""date"":""2023-02-05""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-02-05""}]",1,2023-02-05T00:00:00+00:00
c28a4b41-e4bb-5c39-9824-677f273ddddd,Bank_C,The parties hereby irrevocably submit to the exclusive jurisdiction of the English courts.,"{""Governing Law"":{""Jurisdiction"":""English Law"",""Exclusive"":""Yes""}}","[{""query"":""Please confirm capture approach for Governing Law (GS-ENG-008)."",""role"":""Analyst"",""date"":""2023-02-10""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-02-10""}]",1,2023-02-10T00:00:00+00:00
2a2ab2df-fc3f-5f25-89b6-1af4906cc5fd,Bank_A,Governing Law and Jurisdiction: English Law and the High Court of Justice in London.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (CITI-ENG-009)."",""role"":""Analyst"",""date"":""2023-02-15""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-02-15""}]",1,2023-02-15T00:00:00+00:00
99c94355-9750-5eab-9145-7791d7764d7f,Bank_B,This Deed shall be governed by and construed in accordance with English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (UBS-ENG-010)."",""role"":""Analyst"",""date"":""2023-03-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-03-01""}]",1,2023-03-01T00:00:00+00:00
dd7f576d-2c2d-58d7-9fe9-dee760b01ad9,Bank_C,This Confirmation shall be governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (CS-ENG-011)."",""role"":""Analyst"",""date"":""2023-03-05""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-03-05""}]",1,2023-03-05T00:00:00+00:00
8d0cd2c4-fdbf-58aa-82f8-60ebeb701d01,Bank_A,This Letter Agreement is governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (NOM-ENG-012)."",""role"":""Analyst"",""date"":""2023-03-10""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-03-10""}]",1,2023-03-10T00:00:00+00:00
318fbc45-833e-5b97-898d-af2bac25ed98,Bank_B,This Amendment is subject to English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (SOCGEN-ENG-013)."",""role"":""Analyst"",""date"":""2023-03-15""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-03-15""}]",1,2023-03-15T00:00:00+00:00
743e4c21-e19e-536f-8e76-b044d724b7c9,Bank_C,Applicable Law: The laws of England.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (BNP-ENG-014)."",""role"":""Analyst"",""date"":""2023-03-20""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-03-20""}]",1,2023-03-20T00:00:00+00:00
de4f20dc-7e4a-55e3-bbb2-07271ae364e4,Bank_A,This transaction is governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (DEU-ENG-015)."",""role"":""Analyst"",""date"":""2023-04-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-04-01""}]",1,2023-04-01T00:00:00+00:00
a56cd5a3-d7cf-5655-a560-ea1abd65a518,Bank_B,The construction,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (ING-ENG-016)."",""role"":""Analyst"",""date"":""2026-02-11""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2026-02-11""}]",1,2026-02-11T08:33:17.823386+00:00
fceafd52-55fb-5a36-a08d-d3bd02377ca4,Bank_C,This Master Agreement is governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (SANT-ENG-017)."",""role"":""Analyst"",""date"":""2023-04-10""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-04-10""}]",1,2023-04-10T00:00:00+00:00
63fe2404-7167-5600-9757-425fa524965c,Bank_A,English law governs this Agreement.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (RBC-ENG-018)."",""role"":""Analyst"",""date"":""2023-04-15""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-04-15""}]",1,2023-04-15T00:00:00+00:00
540aa9b1-2cd8-516b-a9f9-56058f910f84,Bank_B,This schedule is governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (TD-ENG-019)."",""role"":""Analyst"",""date"":""2023-04-20""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-04-20""}]",1,2023-04-20T00:00:00+00:00
9c9c631d-64b6-53d0-8299-68c769fe4478,Bank_C,This Annex shall be governed by and construed in accordance with English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (BMO-ENG-020)."",""role"":""Analyst"",""date"":""2023-05-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-05-01""}]",1,2023-05-01T00:00:00+00:00
ef6027c5-b090-5fbb-80e9-220abf3556a5,Bank_A,The validity,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (MIZ-ENG-021)."",""role"":""Analyst"",""date"":""2026-02-11""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2026-02-11""}]",1,2026-02-11T08:33:17.823441+00:00
97e81a28-38e0-533a-af6b-3d2ffb6d0c04,Bank_B,This Guarantee is governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (SMBC-ENG-022)."",""role"":""Analyst"",""date"":""2023-05-10""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-05-10""}]",1,2023-05-10T00:00:00+00:00
6934450a-a6de-5db0-a26b-75ac805763c6,Bank_C,This Accession Letter is governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (MUFG-ENG-023)."",""role"":""Analyst"",""date"":""2023-05-15""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-05-15""}]",1,2023-05-15T00:00:00+00:00
ba711f06-644c-529d-818b-d998ce5fbe4d,Bank_A,This Novation Agreement is governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (NOR-ENG-024)."",""role"":""Analyst"",""date"":""2023-06-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-06-01""}]",1,2023-06-01T00:00:00+00:00
49b67ea8-e200-576d-90b9-e6cef7ab61af,Bank_B,This Side Letter is governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (SEB-ENG-025)."",""role"":""Analyst"",""date"":""2023-06-05""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-06-05""}]",1,2023-06-05T00:00:00+00:00
cba0a46d-cc71-5dbd-8682-96c9c6541929,Bank_A,This Agreement will be governed by and construed in accordance with the laws of the State of New York.,"{""Governing Law"":{""Jurisdiction"":""New York Law""}}","[{""query"":""Please confirm capture approach for Governing Law (JPM-NY-01)."",""role"":""Analyst"",""date"":""2023-01-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-01-01""}]",1,2023-01-01T00:00:00+00:00
f1bffc4d-439d-5bce-acb4-20655e75d7f5,Bank_A,The parties submit to the exclusive jurisdiction of the Courts of the State of New York.,"{""Governing Law"":{""Jurisdiction"":""New York Law""}}","[{""query"":""Please confirm capture approach for Governing Law (GS-NY-02)."",""role"":""Analyst"",""date"":""2023-02-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-02-01""}]",1,2023-02-01T00:00:00+00:00
cdc6fe00-fa12-5f64-8180-0bcdd6ef2100,Bank_B,Governed by New York law.,"{""Governing Law"":{""Jurisdiction"":""New York Law""}}","[{""query"":""Please confirm capture approach for Governing Law (MS-NY-03)."",""role"":""Analyst"",""date"":""2023-03-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-03-01""}]",1,2023-03-01T00:00:00+00:00
0928152b-053f-5f23-959d-deb26df08ca3,Bank_B,This Confirmation is governed by the laws of the State of New York.,"{""Governing Law"":{""Jurisdiction"":""New York Law""}}","[{""query"":""Please confirm capture approach for Governing Law (CITI-NY-04)."",""role"":""Analyst"",""date"":""2023-04-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-04-01""}]",1,2023-04-01T00:00:00+00:00
4120c9b5-2362-51c3-8fd1-b0d7391fb5e9,Bank_C,This Contract shall be governed by NY Law.,"{""Governing Law"":{""Jurisdiction"":""New York Law""}}","[{""query"":""Please confirm capture approach for Governing Law (BOA-NY-05)."",""role"":""Analyst"",""date"":""2023-05-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-05-01""}]",1,2023-05-01T00:00:00+00:00
629839a7-8ab8-5de1-b071-467706809528,Bank_C,This Agreement is governed by French law.,"{""Governing Law"":{""Jurisdiction"":""French Law""}}","[{""query"":""Please confirm capture approach for Governing Law (BNP-FR-01)."",""role"":""Analyst"",""date"":""2023-06-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-06-01""}]",1,2023-06-01T00:00:00+00:00
54fbb89a-56cf-5b05-8fd1-ca6ec224d169,Bank_A,La présente Convention est soumise au droit français.,"{""Governing Law"":{""Jurisdiction"":""French Law""}}","[{""query"":""Please confirm capture approach for Governing Law (SOCGEN-FR-02)."",""role"":""Analyst"",""date"":""2023-07-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-07-01""}]",1,2023-07-01T00:00:00+00:00
b09b74f5-78f5-5fa6-8416-e39766a24c83,Bank_B,French law applies to this Agreement.,"{""Governing Law"":{""Jurisdiction"":""French Law""}}","[{""query"":""Please confirm capture approach for Governing Law (CACIB-FR-03)."",""role"":""Analyst"",""date"":""2023-08-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-08-01""}]",1,2023-08-01T00:00:00+00:00
f17def56-c774-5f7f-bf91-de59f821fb08,Bank_B,This Agreement will be governed by and construed in accordance with the laws of Ireland.,"{""Governing Law"":{""Jurisdiction"":""Irish Law""}}","[{""query"":""Please confirm capture approach for Governing Law (AIB-IE-01)."",""role"":""Analyst"",""date"":""2023-09-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-09-01""}]",1,2023-09-01T00:00:00+00:00
54102fc7-a71f-5043-8d78-9deb0b2c101b,Bank_C,Governed by Irish Law.,"{""Governing Law"":{""Jurisdiction"":""Irish Law""}}","[{""query"":""Please confirm capture approach for Governing Law (BOI-IE-02)."",""role"":""Analyst"",""date"":""2023-10-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-10-01""}]",1,2023-10-01T00:00:00+00:00
1ff8d418-ccb3-57ee-ab7e-cd4c13d73634,Bank_A,This Agreement is subject to German law.,"{""Governing Law"":{""Jurisdiction"":""German Law""}}","[{""query"":""Please confirm capture approach for Governing Law (DEU-DE-01)."",""role"":""Analyst"",""date"":""2023-11-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-11-01""}]",1,2023-11-01T00:00:00+00:00
0aed96f0-88fa-5136-893e-cfd407e533db,Bank_A,This Agreement shall be governed by Hong Kong law.,"{""Governing Law"":{""Jurisdiction"":""Hong Kong Law""}}","[{""query"":""Please confirm capture approach for Governing Law (HSBC-HK-01)."",""role"":""Analyst"",""date"":""2023-12-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-12-01""}]",1,2023-12-01T00:00:00+00:00
90f6f33b-d2aa-5634-bb04-792da96cf1e1,Bank_B,This Agreement will be governed by the laws of Singapore.,"{""Governing Law"":{""Jurisdiction"":""Singapore Law""}}","[{""query"":""Please confirm capture approach for Governing Law (DBS-SG-01)."",""role"":""Analyst"",""date"":""2023-12-15""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-12-15""}]",1,2023-12-15T00:00:00+00:00
